objectid,title,narrator,interviewer,date,year,location,time-period-covered,length-of-interview,subject,subject-1,subject-2,subject-3,type,format,format-free,transcript-available,biography-available,release-form-available,catalog-number-if-applicable,institution,address,phone,email,website,notes
wyomingoralhistory1002,Austin Two Moon Oral History Interview (),Austin Two Moon,,,,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1003,Austin Two Moon Oral History Interview (),Austin Two Moon,,,,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1004,Austin Two Moon Oral History Interview (1982),Austin Two Moon,,7/30/1982,1982,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1005,Dorothy Waisner Oral History Interview (1999),Dorothy Waisner,,10/9/1999,1999,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1006,Dorothy Waisner Oral History Interview (2013),Dorothy Waisner,,4/11/2013,2013,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1007,Dorothy Waisner Oral History Interview (2013),Dorothy Waisner,,4/11/2013,2013,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1008,Dorothy Waisner Oral History Interview (),Dorothy Waisner,,,,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1009,Dorothy Waisner Oral History Interview (2013),Dorothy Waisner,,4/11/2013,2013,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1010,Dorothy Waisner Oral History Interview (2013),Dorothy Waisner,,4/11/2013,2013,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1011,Joe Watt Oral History Interview (1995),Joe Watt,,8/4/1995,1995,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1012,Joe Watt Oral History Interview (2004),Joe Watt,,7/13/2004,2004,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1013,John West Oral History Interview (2013),John West,,6/13/2013,2013,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1014,Jennie Williams Oral History Interview (2014),Jennie Williams,,2/13/2014,2014,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1015,Owen Williams Oral History Interview (1987),Owen Williams,,8/1/1987,1987,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1016,Cris Williamson Oral History Interview (2012),Cris Williamson,,3/15/2012,2012,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1017,Cris Williamson Oral History Interview (2012),Cris Williamson,,3/15/2012,2012,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1018,Bob Wilson Oral History Interview (1987),Bob Wilson,,8/24/1987,1987,,,,Hans Kleiber;;,Hans Kleiber,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1019,Bob Wilson Oral History Interview (2012),Bob Wilson,,4/3/2012,2012,,,,Colorado;;,Colorado,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1020,Jim Wilson Oral History Interview (2013),Jim Wilson,,3/28/2013,2013,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1021,Jewell Wolk Oral History Interview (1982),Jewell Wolk,,7/2/1982,1982,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1022,Jewell Wolk Oral History Interview (2002),Jewell Wolk,,12/16/2002,2002,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1023,Tom Wollenzien Oral History Interview (2013),Tom Wollenzien,,4/23/2013,2013,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1024,"Thomas ""Chip"" Wood Oral History Interview (2005)","Thomas ""Chip"" Wood",,10/21/2005,2005,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1025,John Wooden Legs Oral History Interview (2003),John Wooden Legs,,3/12/2003,2003,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1026,Lynn Young Oral History Interview (2003),Lynn Young,,3/19/2003,2003,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1027,Herbert Zullig Oral History Interview (2002),Herbert Zullig,,3/7/2002,2002,,,,;;,,,,record only,record,,,,,,"Sheridan County Fulmer Public Library, Wyoming Room","335 W. Alger Street, Sheridan, WY",(307) 674-8585,wyomingroom@sheridanwyolibrary.org,https://www.sheridanwyolibrary.org,
wyomingoralhistory1028,Billie Jean Beaton Oral History Interview (2010),Billie Jean Beaton,,3/25/2010,2010,,,59:49:00,Billie Jean Beaton oral history and video interview regarding Salt Creek / Teapot Dome Ranch;;,Billie Jean Beaton oral history and video interview regarding Salt Creek / Teapot Dome Ranch,,,audio,audio,Digital,,,Yes,OH002,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1029,Henry Jensen Oral History Interview (1990),Henry Jensen,Dana Van Burgh,1990s,1990,,,,"Henry Jensen oral history interview regarding geology of Wyoming [conducted while driving with Dana Van Burgh, Jr. and Terry Logue;;","Henry Jensen oral history interview regarding geology of Wyoming [conducted while driving with Dana Van Burgh, Jr. and Terry Logue",,,audio,audio,Digital,Yes,,,OH003,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1030,Dana Van Burgh; Jr Oral History Interview (2015),Dana Van Burgh; Jr,Robin Broumley,4/2/2015,2015,,,46:08:00,"Part 2, Getting ready to become a teacher;;","Part 2, Getting ready to become a teacher",,,audio,audio,Digital,Yes,,Yes,OH004,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,Transcript only available for Part 2.
wyomingoralhistory1031,Dana Van Burgh; Jr. Oral History Interview (2011),Dana Van Burgh; Jr.,Whitney Hill,4/5/2011,2011,Western History Center,,1:20:17,"Dana Van Burgh, Jr. oral history interview regarding life in Casper Wyoming,;Educational memories and Carerr memories;","Dana Van Burgh, Jr. oral history interview regarding life in Casper Wyoming,",Educational memories and Carerr memories,,audio,audio,Digital,Yes,,Yes,OH004,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1032,Edna Garrett Oral History Interview (2011),Edna Garrett,Dawn Moon,4/9/2011,2011,,,,"Edna Joann (Clapp) Garrett Oral history interview regarding life in Salt Creek, Wyoming;;","Edna Joann (Clapp) Garrett Oral history interview regarding life in Salt Creek, Wyoming",,,audio,audio,Digital,Yes,,Yes,OH005,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1033,Barbara Scifers Oral History Interview (2011),Barbara Scifers,Chloe Fielder,4/13/2011,2011,,,part 1-01:27:43 part 2-00:19:40,Oral History of Barbara Scifers of her life and experiences while at Casper College;;,Oral History of Barbara Scifers of her life and experiences while at Casper College,,,audio,audio,Digital,Yes,,Yes,OH006,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1034,"Frank ""Pinky"" Ellis Oral History Interview (2011)","Frank ""Pinky"" Ellis",Emily Pearson,4/15/2011,2011,Western History Center,,00:48:36.,"Frank ""Pinky"" Ellis Oral history interview - life history in Casper, Wyoming;;","Frank ""Pinky"" Ellis Oral history interview - life history in Casper, Wyoming",,,audio,audio,Digital,Yes,,Yes,OH007,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1035,Joye Kading Oral History Interview (2011),Joye Kading,Kayla Bornman,4/26/2011,2011,Western History Center,,p1-00:48:53 p2-00:48:02,Oral History of Joye Kading of her life and experiences while at Casper Army Air Base;;,Oral History of Joye Kading of her life and experiences while at Casper Army Air Base,,,audio,audio,Digital,Yes,,Yes,OH008,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1036,Margorie Woods Oral History Interview (2011),Margorie Woods,Mark Junee,4/13/2011,2011,At Marge Woods' home,,part 1-02:22:47 part 2-02:36:31,"Majorie H. Wood oral history interview of her life and accomplishments by Mark Junee in Cheyenne, Wyoming;;","Majorie H. Wood oral history interview of her life and accomplishments by Mark Junee in Cheyenne, Wyoming",,,audio,audio,Digital,,,,OH009,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1037,Ruth Dove Oral History Interview (2011),Ruth Dove,Teri Hedgpeth,6/9/2011,2011,At Ruth Dove's home,,part 1- 00:25:09 part 2-00:03:44 part 3- 00:18:52,Ruth Dove oral history interview regarding life in Casper and Modern Electric founding of company;;,Ruth Dove oral history interview regarding life in Casper and Modern Electric founding of company,,,audio,audio,Digital,Yes,,Yes,OH010,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1038,Lloyd Loftin Oral History Interview (2011),Lloyd Loftin,Teri Hedgpeth,7/26/2011,2011,Western History Center,,part 1-00:50:37 part 2-00:48:46 part 3- 00:08:36 part 4- 01:22:04 part 5- 01:30:22,Lloyd T. Loftin oral history of life and his service at Casper College (Dean of Students/Dean of Faculty/Vice Pres. Academic Affairs/President);;,Lloyd T. Loftin oral history of life and his service at Casper College (Dean of Students/Dean of Faculty/Vice Pres. Academic Affairs/President),,,audio,audio,Digital,Yes,,Yes,OH011,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1039,Scott Keith Oral History Interview (2011),Scott Keith,Teri Hedgpeth,9/6/2011,2011,,1956-current,part 1- 00:35:40 part 2- 00:13:41 part 3- 01:03:53,"Scott Keith oral history interview regarding life in Kaycee, Wyoming, ranching industry and his personal life up to 2011; Middle Fork Dam, Kacyee Bentonite company;;","Scott Keith oral history interview regarding life in Kaycee, Wyoming, ranching industry and his personal life up to 2011; Middle Fork Dam, Kacyee Bentonite company",,,audio,audio,Digital,Yes,,Yes,OH012,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1040,Betty de Vries Oral History Interview (2011),Betty de Vries,Janet DeVries,5/16/2011,2011,Betty de Vries' home,,part 1- 01:48:27 part 2- 01:24:20,"Betty deVries Oral History by Janet deVries, her daughter - covers life history;;","Betty deVries Oral History by Janet deVries, her daughter - covers life history",,,audio,audio,Digital,Yes,,,OH013,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1041,Lois Schickich Oral History Interview (2011),Lois Schickich,Teri Hedgpeth,9/29/2011,2011,Lois Schickich's home,1927- 2011,part 1- 00:03:50 part 2- 00:11:00 part 3- 00:45:39,Lois Tripeny Shickich oral history conducted by Teri Hedgpeth - describes her life and her father's drug store Tripeny Confectioners;;,Lois Tripeny Shickich oral history conducted by Teri Hedgpeth - describes her life and her father's drug store Tripeny Confectioners,,,audio,audio,Digital,Yes,,Yes,OH014,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1042,Bill Hambrick Oral History Interview (2011),Bill Hambrick,Sarah Goff,11/11/2011,2011,Western History Center,,part 1-00:47:38 part 2-00:38:05,Bill Hambrick oral history conducted by communication student Sarah Goff;;,Bill Hambrick oral history conducted by communication student Sarah Goff,,,audio,audio,Digital,Yes,,Yes,OH015,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1043,Bart Rea Oral History Interview (2011),Bart Rea,Tanner Keller,10/27/2011,2011,,,01:24:58.,Bart Rea oral history conducted by communication student Tanner;;,Bart Rea oral history conducted by communication student Tanner,,,audio,audio,Digital,Yes,,Yes,OH016,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1044,Harry O. Patterson Oral History Interview (2011),Harry O. Patterson,Teri Hedgpeth,11/29/2011,2011,Western History Center,1930-2011,part 1-00:42:59 part 2-00:47:18,"Harry O. Patterson oral history of his life and experiences in Casper, WY by Teri Hedgpeth;;","Harry O. Patterson oral history of his life and experiences in Casper, WY by Teri Hedgpeth",,,audio,audio,Digital,Yes,,Yes,OH017,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1045,Jean Tichenor Oral History Interview (2010),Jean Tichenor,Mike Olson,9/9/2010,2010,South lobby of Theater building at Casper College,,00:39:51.,Jean Tichenor oral history of her life and experiences as a Casper College instructor by Mike Olson;;,Jean Tichenor oral history of her life and experiences as a Casper College instructor by Mike Olson,,,audio,audio,Digital,Yes,,,OH018,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1046,Burt Noe Oral History Interview (2011),Burt Noe,Teri Hedgpeth,12/13/2011,2011,Western History Center,1927-2011,part 1-01:36:37 part 2- 00:22:07,"Burt Noe oral history of his life and experiences in Casper, WY by Teri Hedgpeth;;","Burt Noe oral history of his life and experiences in Casper, WY by Teri Hedgpeth",,,audio,audio,Digital,Yes,,Yes,OH019,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1047,Thomas Clemmons Oral History Interview (2012),Thomas Clemmons,Teri Hedgpeth,1/19/2012,2012,Western History Center,1934-2012,part 1- 01:35:09 - part 2- 00:28:14,"Thomas Clemmons oral history of his life and experiences in Rawlins, JE Ranch, Seattle, WA and Casper, WY;;","Thomas Clemmons oral history of his life and experiences in Rawlins, JE Ranch, Seattle, WA and Casper, WY",,,audio,audio,Digital,Yes,,Yes,OH020,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1048,Mary W. Hales Oral History Interview (2012),Mary W. Hales,Teri Hedgpeth,1/24/2012,2012,Western History Center,1944-,00:47:04.,Mary Hales oral history of her experiences as a Girl Scout. Family history is covered as well as history of Girl Scouts in Wyoming;;,Mary Hales oral history of her experiences as a Girl Scout. Family history is covered as well as history of Girl Scouts in Wyoming,,,audio,audio,Digital,Yes,,Yes,OH021,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1049,Sarah Engstrom Oral History Interview (2012),Sarah Engstrom,Teri Hedgpeth,2/13/2012,2012,Western History Center,1988-2012,part 1- 00:29:52 part 2- 00:03:33,"Oral History of Sarah Engstrom's personal memories as a Girl Scout in Casper, WY conducted by Teri Hedgpeth in the CC WHC on Feb 13, 2012;;","Oral History of Sarah Engstrom's personal memories as a Girl Scout in Casper, WY conducted by Teri Hedgpeth in the CC WHC on Feb 13, 2012",,,audio,audio,Digital,Yes,,Yes,OH022,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1050,Al Allen Oral History Interview (2012),Al Allen,Stephen Olsen,3/2/2012,2012,Al Allen's home,,01:20:30.,"Oral History of Albert ""Al"" Allen, Casper College geology professor regarding his life. Digital recording and tape recording;;","Oral History of Albert ""Al"" Allen, Casper College geology professor regarding his life. Digital recording and tape recording",,,audio,audio,Digital,Yes,,Yes,OH023,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1051,Charlotte Babcock Oral History Interview (2012),Charlotte Babcock,Nicole Simoneau,3/7/2012,2012,,1929-2012,part 1- 00:46:01 part 2- 00:42:43,Oral History of Charlotte Babcock Casper College alumna regarding her life's history. Digital recording and tape recording;;,Oral History of Charlotte Babcock Casper College alumna regarding her life's history. Digital recording and tape recording,,,audio,audio,Digital,Yes,,Yes,OH024,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1052,Lois Schickich Oral History Interview (2012),Lois Schickich,Janet deVries,3/13/2012,2012,,1927-2012,00:55:03.,"Oral History of Lois Shickich's experiences with the Casper, Wyoming Girl Scouts;;","Oral History of Lois Shickich's experiences with the Casper, Wyoming Girl Scouts",,,audio,audio,Digital,,,Yes,OH025,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1053,Bill Muller Oral History Interview (2012),Bill Muller,Teri Hedgpeth,3/14/2012,2012,,1940-2012,00:59:58.,"Oral History of William ""Bill"" Muller experiences in Casper (Mayor, School Board, owner of Judd Tire);;","Oral History of William ""Bill"" Muller experiences in Casper (Mayor, School Board, owner of Judd Tire)",,,audio,audio,Digital,Yes,,Yes,OH026,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1054,Oleta Thomas Oral History Interview (2012),Oleta Thomas,Teri Hedgpeth,4/11/2012,2012,Western History Center,,01:30:10.,"Oral History of Oleta Thomas and her experiences as a child and Heart Mountain Internment Camp. Her father, Mr. Kurtz, was the Activities Director for Heart Mountain;;","Oral History of Oleta Thomas and her experiences as a child and Heart Mountain Internment Camp. Her father, Mr. Kurtz, was the Activities Director for Heart Mountain",,,audio,audio,Digital,Yes,,Yes,OH027,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1055,Jackie Ellis Oral History Interview (2012),Jackie Ellis,Olivia Womack,6/28/2012,2012,Western History Center,,part 1- 00:34:11 part 2- 00:01:11,Oral History of Jackie Ellis decreibes her teaching career and a her expericances in school.;;,Oral History of Jackie Ellis decreibes her teaching career and a her expericances in school.,,,audio,audio,Digital,Yes,,Yes,OH028,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1056,John Goss Oral History Interview (2012),John Goss,Patti Finkle,3/30/2012,2012,Tate Museum Casper College,,01:24:38.,"Oral History of John Goss about his father, Glenn Ira Goss. The first half of the interveiw is about Glenn's Childhood, Family, Teaching career, and his hobby of rock hounding. The 2nd half John helps Patti, the interviewer, identify wy jade at the tate.;;","Oral History of John Goss about his father, Glenn Ira Goss. The first half of the interveiw is about Glenn's Childhood, Family, Teaching career, and his hobby of rock hounding. The 2nd half John helps Patti, the interviewer, identify wy jade at the tate.",,,audio,audio,Digital,Yes,,,OH029,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1057,Luke Booth Oral History Interview (2012),Luke Booth,Tom Rea,8/28/2012,2012,,1981-2012,01:31:29.,Life from birth to current events;;,Life from birth to current events,,,audio,audio,Digital,,,Yes,OH030,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1058,Angus Morrison Oral History Interview (2012),Angus Morrison,Dana Van Burgh,9/6/2012,2012,Western History Center,1926-,00:56:16.,Growing up in Casper;;,Growing up in Casper,,,audio,audio,Digital,Yes,,Yes,OH031,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1059,Mary Lynn Corbett Oral History Interview (2012),Mary Lynn Corbett,Dana Van Burgh,9/13/2012,2012,,,part 1- 00:40:48 part 2- 00:18:09 part 3- 00:16:52,;;,,,,audio,audio,Digital,Yes,,Yes,OH032,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1060,Fred Eiserman Oral History Interview (2012),Fred Eiserman,Elisa Borgman,10/10/2012,2012,,,01:20:22.,;;,,,,audio,audio,Digital,Yes,,Yes,OH033,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1061,Janie Nelson Oral History Interview (2012),Janie Nelson,Dana Van Burgh,10/30/2012,2012,,,00:46:28.,;;,,,,audio,audio,Digital,Yes,,Yes,OH034,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1062,Elmer Hoke Oral History Interview (2012),Elmer Hoke,Dana Van Burgh,10/31/2012,2012,,1925-2012,01:06:03.,;;,,,,audio,audio,Digital,Yes,,Yes,OH035,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1063,Mary Jo Scott Oral History Interview (2012),Mary Jo Scott,Dana Van Burgh,11/1/2012,2012,,1922-2012,00:36:25.,;;,,,,audio,audio,Digital,,,Yes,OH036,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1064,Linda Mokler Feezer Oral History Interview (2012),Linda Mokler Feezer,Dana Van Burgh,11/6/2012,2012,,1949-2012,00:58:10.,;;,,,,audio,audio,Digital,,,Yes,OH037,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1065,Robert (Bob) Barnard Oral History Interview (2012),Robert (Bob) Barnard,Dana Van Burgh,11/6/2012,2012,,1928-2012,00:53:28.,"Oral History of Bob's work expericance and expericance in Real estate in Casper, wyoming;;","Oral History of Bob's work expericance and expericance in Real estate in Casper, wyoming",,,audio,audio,Digital,Yes,,Yes,OH038,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1066,Barbara Rea Oral History Interview (2012),Barbara Rea,Dana Van Burgh,11/14/2012,2012,,,part 1- 00:45:39 part 2-00:00:18,;;,,,,audio,audio,Digital,Yes,,Yes,OH039,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
wyomingoralhistory1067,John and Evelyn Albanese Oral History Interview (2012),John and Evelyn Albanese,Dana Van Burgh,10/11/2012,2012,Western History Center,,00:46:00.,;;,,,,audio,audio,Digital,,,Yes,OH040,"Casper College, Western History Center","125 College Drive, Casper, WY 82601",307-268-2680,wyoref@caspercollege.edu,http://www.caspercollege.edu/whc,
